"ppt","ProbeType","Condition","SetSize","TestChange","RespChange","Ntrials"
15,"DualProbe","Binding",4,1,12,18
15,"DualProbe","Binding",6,0,7,18
15,"DualProbe","Binding",6,1,14,18
15,"DualProbe","Colour",4,0,0,18
15,"DualProbe","Colour",4,1,17,18
15,"DualProbe","Colour",6,0,2,18
15,"DualProbe","Colour",6,1,18,18
15,"DualProbe","Shape",4,0,0,18
15,"DualProbe","Shape",4,1,18,18
15,"DualProbe","Shape",6,0,2,18
15,"DualProbe","Shape",6,1,16,18
15,"WholeDisplay","Binding",4,0,7,18
15,"WholeDisplay","Binding",4,1,12,18
15,"WholeDisplay","Binding",6,0,6,18
15,"WholeDisplay","Binding",6,1,15,18
15,"WholeDisplay","Colour",4,0,3,18
15,"WholeDisplay","Colour",4,1,18,18
15,"WholeDisplay","Colour",6,0,4,18
15,"WholeDisplay","Colour",6,1,16,18
15,"WholeDisplay","Shape",4,0,0,18
15,"WholeDisplay","Shape",4,1,17,18
15,"WholeDisplay","Shape",6,0,5,18
15,"WholeDisplay","Shape",6,1,11,18
16,"DualProbe","Binding",4,0,5,18
16,"DualProbe","Binding",4,1,14,18
16,"DualProbe","Binding",6,0,5,18
16,"DualProbe","Binding",6,1,9,18
16,"DualProbe","Colour",4,0,7,18
16,"DualProbe","Colour",4,1,17,18
16,"DualProbe","Colour",6,0,10,18
16,"DualProbe","Colour",6,1,12,18
16,"DualProbe","Shape",4,0,3,18
16,"DualProbe","Shape",4,1,15,18
16,"DualProbe","Shape",6,0,4,18
16,"DualProbe","Shape",6,1,8,18
16,"WholeDisplay","Binding",4,0,7,18
16,"WholeDisplay","Binding",4,1,7,18
16,"WholeDisplay","Binding",6,0,5,18
16,"WholeDisplay","Binding",6,1,9,18
16,"WholeDisplay","Colour",4,0,6,18
16,"WholeDisplay","Colour",4,1,14,18
16,"WholeDisplay","Colour",6,0,1,18
16,"WholeDisplay","Colour",6,1,15,18
16,"WholeDisplay","Shape",4,0,1,18
16,"WholeDisplay","Shape",4,1,14,18
16,"WholeDisplay","Shape",6,0,2,18
16,"WholeDisplay","Shape",6,1,10,18
17,"DualProbe","Binding",4,0,5,18
17,"DualProbe","Binding",4,1,13,18
17,"DualProbe","Binding",6,0,5,18
17,"DualProbe","Binding",6,1,9,18
17,"DualProbe","Colour",4,0,10,18
17,"DualProbe","Colour",4,1,18,18
17,"DualProbe","Colour",6,0,9,18
17,"DualProbe","Colour",6,1,17,18
17,"DualProbe","Shape",4,0,8,18
17,"DualProbe","Shape",4,1,14,18
17,"DualProbe","Shape",6,0,1,18
17,"DualProbe","Shape",6,1,12,18
17,"WholeDisplay","Binding",4,0,1,18
17,"WholeDisplay","Binding",4,1,9,18
17,"WholeDisplay","Binding",6,0,2,18
17,"WholeDisplay","Binding",6,1,8,18
17,"WholeDisplay","Colour",4,0,4,18
17,"WholeDisplay","Colour",4,1,18,18
17,"WholeDisplay","Colour",6,0,5,18
17,"WholeDisplay","Colour",6,1,10,18
17,"WholeDisplay","Shape",4,0,1,18
17,"WholeDisplay","Shape",4,1,15,18
17,"WholeDisplay","Shape",6,0,1,18
17,"WholeDisplay","Shape",6,1,9,18
18,"DualProbe","Binding",4,0,6,18
18,"DualProbe","Binding",4,1,14,18
18,"DualProbe","Binding",6,0,7,18
18,"DualProbe","Binding",6,1,9,18
18,"DualProbe","Colour",4,0,3,18
18,"DualProbe","Colour",4,1,15,18
18,"DualProbe","Colour",6,0,6,18
18,"DualProbe","Colour",6,1,14,18
18,"DualProbe","Shape",4,0,0,18
18,"DualProbe","Shape",4,1,13,18
18,"DualProbe","Shape",6,0,4,18
18,"DualProbe","Shape",6,1,9,18
18,"WholeDisplay","Binding",4,0,4,18
